Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission
0,0,0,0,0,0,-1,0,230,0,210,0,4,7,26,1,0,0,0,2238
1,0,1,1,1,1,-1,0,114,1,9,1,3,9,38,5,0,0,1,1892
0,1,2,2,2,2,0,1,138,2,2472,2,1,14,47,6,1,0,2,2595
0,1,2,3,2,1,-1,2,157,1,74,3,3,20,5,7,1,1,3,1074
1,0,1,0,0,2,1,0,266,3,8457,0,1,3,5,6,2,2,4,4743
0,1,1,1,2,0,-1,2,144,0,658,0,1,22,18,9,1,3,5,1647
2,0,3,1,2,2,2,1,56,1,5363,3,4,9,11,19,1,4,6,1832
2,0,3,2,0,1,-1,2,59,3,54,1,3,5,39,15,0,5,1,2322
0,1,2,0,2,0,-1,1,200,0,1376,3,3,3,31,15,2,6,3,2494
2,0,0,0,2,0,-1,0,135,1,440,1,1,8,23,18,1,6,3,1178
3,0,1,2,2,0,-1,1,146,2,1561,1,4,12,27,21,0,7,1,1427
1,1,1,2,0,1,-1,1,111,3,69,3,5,9,4,4,1,4,5,3226
2,0,2,3,0,1,-1,0,114,1,92,0,3,18,27,4,2,8,7,1593
2,0,3,1,3,2,3,2,111,1,2893,0,6,13,16,10,1,9,8,1732
1,1,0,1,1,0,-1,0,123,1,1989,2,6,13,23,8,0,10,0,1743
0,0,1,1,3,0,-1,1,225,3,692,2,6,9,24,15,0,1,0,2101
3,1,0,2,3,1,-1,0,219,0,7,1,4,23,42,14,1,4,9,2609
0,0,0,0,2,0,-1,0,104,1,948,0,6,1,6,22,2,2,10,1565
2,1,3,2,3,2,0,0,126,3,7622,3,2,6,37,9,1,4,7,5272
3,0,2,2,2,1,-1,0,288,2,51,2,4,15,22,6,0,3,0,1220
3,1,3,3,3,2,4,0,282,1,2237,0,6,0,8,5,0,9,11,1300
1,0,0,1,2,0,-1,1,69,1,1804,0,1,6,3,7,0,0,5,1024
0,1,2,3,2,1,-1,2,110,2,85,2,3,14,4,3,1,1,8,706
1,1,1,0,0,2,1,0,165,0,472,2,4,17,24,20,2,11,12,2582
0,1,3,0,0,2,1,2,62,3,5737,3,1,5,20,20,2,12,6,4284
1,0,0,1,3,1,-1,2,94,1,88,3,6,17,0,3,1,10,8,807
2,0,3,0,3,0,-1,0,259,0,558,0,4,4,50,23,1,0,11,1991
1,1,1,1,3,0,-1,2,67,1,752,0,3,14,37,14,1,8,7,1817
1,1,0,0,2,1,-1,1,130,1,71,2,2,10,15,10,0,6,11,1490
2,0,2,1,3,0,-1,1,258,0,1028,2,2,13,44,4,2,13,9,1561
1,0,3,2,2,0,-1,2,189,0,1527,3,4,23,34,10,2,13,3,2202
2,0,1,0,0,1,-1,2,262,0,88,0,5,24,8,15,1,4,3,2024
3,0,0,0,1,1,-1,1,157,0,73,3,4,1,42,22,0,3,8,1659
3,0,0,0,2,2,3,0,280,3,8320,2,5,9,0,4,1,12,13,3911
3,1,1,3,0,1,-1,2,121,2,72,3,6,11,4,10,2,13,14,1204
2,0,3,1,0,1,-1,0,174,3,9,0,2,1,40,15,2,5,1,2431
1,1,1,0,3,1,-1,2,173,0,60,3,2,16,14,20,1,14,15,1640
2,1,3,3,1,1,-1,2,199,0,13,3,5,17,6,15,0,3,8,1648
2,1,2,1,2,1,-1,1,94,1,32,2,6,15,5,17,1,13,3,1002
2,0,0,1,0,1,-1,1,64,0,49,2,1,19,47,16,2,14,8,1771
0,0,2,3,3,0,-1,1,100,3,1351,1,1,20,24,5,2,5,14,2028
3,0,1,2,0,0,-1,0,240,3,1726,3,2,15,19,5,0,13,0,2540
2,0,2,0,3,0,-1,2,245,2,1021,3,7,14,48,10,0,3,13,1386
3,0,0,0,0,1,-1,2,270,1,62,2,5,22,21,11,1,8,8,1679
0,1,2,0,2,2,4,0,294,3,9488,2,5,16,20,18,2,6,15,3141
3,1,1,2,2,0,-1,1,87,3,1037,0,4,0,11,24,0,7,8,2627
2,1,0,1,2,2,4,1,209,2,9555,0,2,13,43,3,2,3,9,1188
2,1,0,3,3,2,1,1,124,2,9031,1,5,1,11,5,2,14,10,3174
0,0,1,2,1,0,-1,2,276,0,1461,0,7,19,5,12,1,0,8,2327
0,0,3,0,2,1,-1,1,90,3,39,3,3,22,7,9,2,10,5,1822
1,0,3,1,1,2,1,2,136,2,5033,3,6,0,43,24,0,10,0,2665
2,1,3,0,3,0,-1,2,246,0,1065,1,4,22,43,7,2,15,8,2129
3,1,0,1,2,0,-1,0,94,1,927,3,5,18,10,21,2,11,4,1425
0,1,1,2,3,2,2,1,253,0,2277,0,1,0,11,20,1,3,7,1690
1,0,2,2,1,1,-1,1,200,1,97,3,7,13,18,0,1,0,1,1717
3,1,3,1,0,2,3,2,281,0,7272,0,2,4,38,5,0,11,3,4060
1,0,1,1,3,2,0,2,82,1,5260,1,3,14,18,17,0,14,13,3262
0,0,0,2,0,0,-1,0,73,1,1750,1,1,9,30,12,2,11,8,1674
1,1,1,0,1,2,2,0,246,0,2998,2,4,0,36,3,1,0,5,3135
2,1,0,1,1,2,3,2,98,1,9147,1,5,1,49,20,2,14,14,4465
0,1,0,3,3,0,-1,1,256,1,1947,1,3,23,33,8,1,4,7,1984
0,0,1,1,3,2,3,0,287,3,4885,0,1,21,21,3,2,15,14,3246
1,0,2,0,3,1,-1,1,63,0,20,0,4,1,6,14,0,1,8,1351
1,1,1,1,0,1,-1,0,158,2,23,1,1,24,33,2,0,6,7,1929
1,1,2,3,3,1,-1,0,241,0,34,0,5,24,15,10,2,4,9,2719
1,0,1,3,0,1,-1,1,176,0,59,0,1,11,41,19,2,2,0,2336
3,0,1,1,2,0,-1,0,189,2,682,2,6,0,35,3,1,6,14,1270
1,0,1,1,1,1,-1,0,214,2,10,0,6,20,12,24,2,6,1,1803
3,0,3,0,3,1,-1,2,264,3,10,3,1,7,22,17,1,11,9,1816
3,1,2,3,0,2,0,2,213,2,7964,2,1,16,43,9,0,7,0,4638
2,0,2,3,0,2,2,0,281,1,3606,2,3,16,8,22,1,15,7,1909
3,1,3,1,1,0,-1,2,280,0,536,0,2,2,30,1,2,8,4,2021
3,1,2,2,1,0,-1,1,125,1,1564,0,5,4,15,23,0,0,2,1896
1,1,3,0,3,1,-1,1,188,0,78,2,4,11,21,3,0,2,11,1770
3,0,2,0,2,1,-1,0,251,2,98,2,1,12,47,3,0,10,1,1323
